Local date,Demand
09Mar2025,"569,209"
10Mar2025,"661,204"
11Mar2025,"673,485"
12Mar2025,"702,794"
13Mar2025,"701,726"
14Mar2025,"736,533"
15Mar2025,"638,091"
16Mar2025,"619,061"
17Mar2025,"683,748"
18Mar2025,"663,112"
19Mar2025,"673,391"
20Mar2025,"657,044"
21Mar2025,"652,373"
22Mar2025,"607,646"
23Mar2025,"581,531"
24Mar2025,"665,085"
25Mar2025,"671,124"
26Mar2025,"684,500"
27Mar2025,"661,448"
28Mar2025,"663,891"
29Mar2025,"601,546"
30Mar2025,"617,681"
31Mar2025,"682,608"
01Apr2025,"688,938"
02Apr2025,"671,925"
03Apr2025,"663,066"
04Apr2025,"663,218"
05Apr2025,"610,448"
06Apr2025,"602,346"
07Apr2025,"668,789"
08Apr2025,"674,072"
09Apr2025,"695,014"
10Apr2025,"696,806"
11Apr2025,"716,588"
12Apr2025,"645,064"
13Apr2025,"618,803"
14Apr2025,"681,074"
15Apr2025,"699,868"
16Apr2025,"696,787"
17Apr2025,"701,123"
18Apr2025,"677,544"
19Apr2025,"612,502"
20Apr2025,"591,496"
21Apr2025,"666,126"
22Apr2025,"670,049"
23Apr2025,"683,090"
24Apr2025,"681,159"
25Apr2025,"685,200"
26Apr2025,"641,997"
27Apr2025,"629,915"
28Apr2025,"661,427"
29Apr2025,"677,284"
30Apr2025,"691,326"
01May2025,"692,802"
02May2025,"692,880"
03May2025,"648,344"
04May2025,"616,223"
05May2025,"691,774"
06May2025,"702,444"
07May2025,"690,708"
08May2025,"716,418"
09May2025,"785,528"
10May2025,"777,881"
11May2025,"701,876"
12May2025,"712,517"
13May2025,"693,553"
14May2025,"694,263"
15May2025,"714,252"
16May2025,"723,530"
17May2025,"658,402"
18May2025,"627,690"
19May2025,"730,735"
20May2025,"782,227"
21May2025,"795,224"
22May2025,"776,356"
23May2025,"732,874"
24May2025,"672,646"
25May2025,"640,189"
26May2025,"662,370"
27May2025,"725,144"
28May2025,"748,844"
29May2025,"768,665"
30May2025,"857,507"
31May2025,"853,080"
01Jun2025,"771,954"
02Jun2025,"786,598"
03Jun2025,"783,218"
04Jun2025,"795,567"
05Jun2025,"788,987"
06Jun2025,"788,564"
07Jun2025,"745,866"
08Jun2025,"719,293"
09Jun2025,"794,560"
10Jun2025,"806,994"
11Jun2025,"798,441"
12Jun2025,"790,288"
13Jun2025,"782,960"
14Jun2025,"743,378"
15Jun2025,"754,858"
16Jun2025,"836,824"
17Jun2025,"866,319"
18Jun2025,"888,932"
19Jun2025,"824,492"
20Jun2025,"769,597"
21Jun2025,"692,307"
22Jun2025,"683,189"
23Jun2025,"774,314"
24Jun2025,"776,099"
25Jun2025,"801,183"
26Jun2025,"824,627"
27Jun2025,"856,105"
28Jun2025,"838,702"
29Jun2025,"817,015"
30Jun2025,"874,831"
01Jul2025,"862,004"
02Jul2025,"858,528"
03Jul2025,"836,571"
04Jul2025,"771,514"
05Jul2025,"761,578"
06Jul2025,"766,359"
07Jul2025,"826,681"
08Jul2025,"863,479"
09Jul2025,"892,012"
10Jul2025,"941,055"
11Jul2025,"923,620"
12Jul2025,"838,971"
13Jul2025,"801,492"
14Jul2025,"892,153"
15Jul2025,"876,500"
16Jul2025,"845,437"
17Jul2025,"855,414"
18Jul2025,"860,827"
19Jul2025,"815,818"
20Jul2025,"780,975"
21Jul2025,"816,461"
22Jul2025,"813,903"
23Jul2025,"818,897"
24Jul2025,"826,273"
25Jul2025,"804,296"
26Jul2025,"741,639"
27Jul2025,"717,398"
28Jul2025,"827,017"
29Jul2025,"863,349"
30Jul2025,"866,156"
31Jul2025,"852,896"
01Aug2025,"869,814"
02Aug2025,"820,263"
03Aug2025,"793,113"
04Aug2025,"858,837"
05Aug2025,"850,629"
06Aug2025,"943,570"
07Aug2025,"991,741"
08Aug2025,"992,543"
09Aug2025,"921,808"
10Aug2025,"884,917"
11Aug2025,"946,960"
12Aug2025,"930,330"
13Aug2025,"912,592"
14Aug2025,"892,810"
15Aug2025,"877,479"
16Aug2025,"811,454"
17Aug2025,"782,440"
18Aug2025,"852,164"
19Aug2025,"900,441"
20Aug2025,"955,756"
21Aug2025,"1,025,256"
22Aug2025,"1,039,200"
23Aug2025,"954,270"
24Aug2025,"928,450"
25Aug2025,"983,608"
26Aug2025,"951,821"
27Aug2025,"947,169"
28Aug2025,"910,655"
29Aug2025,"928,181"
30Aug2025,"910,342"
31Aug2025,"921,219"
01Sep2025,"959,207"
02Sep2025,"1,017,395"
03Sep2025,"1,018,928"
04Sep2025,"981,101"
05Sep2025,"917,285"
06Sep2025,"851,287"
07Sep2025,"842,509"
08Sep2025,"899,216"
09Sep2025,"864,239"
10Sep2025,"843,448"
11Sep2025,"820,129"
12Sep2025,"822,472"
13Sep2025,"773,862"
14Sep2025,"762,536"
15Sep2025,"884,941"
16Sep2025,"938,285"
17Sep2025,"969,503"
18Sep2025,"904,815"
19Sep2025,"874,661"
20Sep2025,"832,814"
21Sep2025,"793,858"
22Sep2025,"882,807"
23Sep2025,"937,168"
24Sep2025,"915,390"
25Sep2025,"853,380"
26Sep2025,"821,948"
27Sep2025,"761,763"
28Sep2025,"734,178"
29Sep2025,"800,166"
30Sep2025,"799,048"
01Oct2025,"801,825"
02Oct2025,"791,132"
03Oct2025,"768,557"
04Oct2025,"684,192"
05Oct2025,"684,207"
06Oct2025,"755,842"
07Oct2025,"767,560"
08Oct2025,"757,718"
09Oct2025,"746,734"
10Oct2025,"755,875"
11Oct2025,"693,445"
12Oct2025,"660,278"
13Oct2025,"708,020"
14Oct2025,"708,810"
15Oct2025,"695,754"
16Oct2025,"695,215"
17Oct2025,"697,358"
18Oct2025,"677,982"
19Oct2025,"668,123"
20Oct2025,"729,531"
21Oct2025,"729,471"
22Oct2025,"728,012"
23Oct2025,"717,497"
24Oct2025,"711,959"
25Oct2025,"679,536"
26Oct2025,"656,915"
27Oct2025,"716,229"
28Oct2025,"733,602"
29Oct2025,"752,505"
30Oct2025,"746,533"
31Oct2025,"721,754"
01Nov2025,"612,543"
02Nov2025,"683,070"
03Nov2025,"705,094"
04Nov2025,"718,549"
05Nov2025,"722,212"
06Nov2025,"723,768"
07Nov2025,"724,817"
08Nov2025,"679,818"
09Nov2025,"669,169"
10Nov2025,"739,046"
11Nov2025,"732,944"
12Nov2025,"726,441"
13Nov2025,"731,300"
